日期,股票,权益,再平衡,持有数量,持有成本,现金价值,当日盈亏,当日收益率,资产占比
2016/04/25,510300,250000.0,,75255.87,3.322,250000.0,0.0,,25.0000%
2016/04/25,511010,250000.0,,2245.98,111.31,250000.0,0.0,,25.0000%
2016/04/25,511880,250000.0,,2238.28,111.693,250000.0,0.0,,25.0000%
2016/04/25,518880,250000.0,,96974.4,2.578,250000.0,0.0,,25.0000%
2016/04/25,总结,1000000.0,1,,,,0.0,0.0000%,
2016/04/26,510300,251354.61,,75255.87,3.34,251354.61,1354.61,0.5418%,25.1040%
2016/04/26,511010,250379.57,,2245.98,111.479,250379.57,379.57,0.1518%,25.0067%
2016/04/26,511880,250002.24,,2238.28,111.694,250002.24,2.24,0.0009%,24.9690%
2016/04/26,518880,249515.13,,96974.4,2.573,249515.13,-484.87,-0.1939%,24.9203%
2016/04/26,总结,1001251.54,0,,,,1251.55,0.1252%,
2016/04/27,510300,250225.77,,75255.87,3.325,250225.77,-1128.84,-0.4491%,24.9452%
2016/04/27,511010,250599.68,,2245.98,111.577,250599.68,220.11,0.0879%,24.9825%
2016/04/27,511880,250044.77,,2238.28,111.713,250044.77,42.53,0.0170%,24.9272%
2016/04/27,518880,252230.41,,96974.4,2.601,252230.41,2715.28,1.0882%,25.1451%
2016/04/27,总结,1003100.62,0,,,,1849.08,0.1847%,
2016/04/28,510300,250075.26,,75255.87,3.323,250075.26,-150.51,-0.0602%,24.8845%
2016/04/28,511010,251379.03,,2245.98,111.924,251379.03,779.35,0.3110%,25.0143%
2016/04/28,511880,250094.01,,2238.28,111.735,250094.01,49.24,0.0197%,24.8864%
2016/04/28,518880,253394.1,,96974.4,2.613,253394.1,1163.69,0.4614%,25.2148%
2016/04/28,总结,1004942.4,0,,,,1841.77,0.1836%,
2016/04/29,510300,249774.23,,75255.87,3.319,249774.23,-301.02,-0.1204%,24.7464%
2016/04/29,511010,251480.1,,2245.98,111.969,251480.1,101.07,0.0402%,24.9154%
2016/04/29,511880,250129.82,,2238.28,111.751,250129.82,35.81,0.0143%,24.7816%
2016/04/29,518880,257951.9,,96974.4,2.66,257951.9,4557.8,1.7987%,25.5566%
2016/04/29,总结,1009336.05,0,,,,4393.66,0.4372%,
2016/05/03,510300,254364.84,,75255.87,3.38,254364.84,4590.61,1.8379%,24.9838%
2016/05/03,511010,251621.6,,2245.98,112.032,251621.6,141.5,0.0563%,24.7143%
2016/05/03,511880,250109.68,,2238.28,111.742,250109.68,-20.14,-0.0081%,24.5658%
2016/05/03,518880,262024.83,,96974.4,2.702,262024.83,4072.92,1.5789%,25.7361%
2016/05/03,总结,1018120.94,0,,,,8784.89,0.8704%,
2016/05/04,510300,253461.77,,75255.87,3.368,253461.77,-903.07,-0.3550%,24.9776%
2016/05/04,511010,251572.19,,2245.98,112.01,251572.19,-49.41,-0.0196%,24.7914%
2016/05/04,511880,250120.87,,2238.28,111.747,250120.87,11.19,0.0045%,24.6484%
2016/05/04,518880,259600.47,,96974.4,2.677,259600.47,-2424.36,-0.9252%,25.5826%
2016/05/04,总结,1014755.29,0,,,,-3365.65,-0.3306%,
2016/05/05,510300,253461.77,,75255.87,3.368,253461.77,0.0,0.0000%,24.9778%
2016/05/05,511010,251736.14,,2245.98,112.083,251736.14,163.96,0.0652%,24.8077%
2016/05/05,511880,250145.49,,2238.28,111.758,250145.49,24.62,0.0098%,24.6509%
2016/05/05,518880,259406.52,,96974.4,2.675,259406.52,-193.95,-0.0747%,25.5636%
2016/05/05,总结,1014749.92,0,,,,-5.37,-0.0005%,
2016/05/06,510300,247968.09,,75255.87,3.295,247968.09,-5493.68,-2.1675%,24.5603%
2016/05/06,511010,251578.92,,2245.98,112.013,251578.92,-157.22,-0.0625%,24.9180%
2016/05/06,511880,250190.25,,2238.28,111.778,250190.25,44.77,0.0179%,24.7804%
2016/05/06,518880,259891.39,,96974.4,2.68,259891.39,484.87,0.1869%,25.7413%
2016/05/06,总结,1009628.66,0,,,,-5121.26,-0.5047%,
2016/05/09,510300,243151.72,,75255.87,3.231,243151.72,-4816.38,-1.9423%,24.2166%
2016/05/09,511010,251776.57,,2245.98,112.101,251776.57,197.65,0.0786%,25.0756%
2016/05/09,511880,250219.35,,2238.28,111.791,250219.35,29.1,0.0116%,24.9205%
2016/05/09,518880,258921.64,,96974.4,2.67,258921.64,-969.74,-0.3731%,25.7872%
2016/05/09,总结,1004069.28,0,,,,-5559.37,-0.5506%,
2016/05/10,510300,242925.95,,75255.87,3.228,242925.95,-225.77,-0.0929%,24.2200%
2016/05/10,511010,252138.17,,2245.98,112.262,252138.17,361.6,0.1436%,25.1385%
2016/05/10,511880,250270.83,,2238.28,111.814,250270.83,51.48,0.0206%,24.9523%
2016/05/10,518880,257660.98,,96974.4,2.657,257660.98,-1260.67,-0.4869%,25.6891%
2016/05/10,总结,1002995.93,0,,,,-1073.36,-0.1069%,
2016/05/11,510300,243829.02,,75255.87,3.24,243829.02,903.07,0.3717%,24.2570%
2016/05/11,511010,252284.16,,2245.98,112.327,252284.16,145.99,0.0579%,25.0982%
2016/05/11,511880,250250.69,,2238.28,111.805,250250.69,-20.14,-0.0080%,24.8959%
2016/05/11,518880,258824.67,,96974.4,2.669,258824.67,1163.69,0.4516%,25.7489%
2016/05/11,总结,1005188.54,0,,,,2192.61,0.2186%,
2016/05/12,510300,244656.83,,75255.87,3.251,244656.83,827.81,0.3395%,24.3298%
2016/05/12,511010,252722.13,,2245.98,112.522,252722.13,437.97,0.1736%,25.1318%
2016/05/12,511880,250255.16,,2238.28,111.807,250255.16,4.48,0.0018%,24.8865%
2016/05/12,518880,257951.9,,96974.4,2.66,257951.9,-872.77,-0.3372%,25.6519%
2016/05/12,总结,1005586.03,0,,,,397.49,0.0395%,
2016/05/13,510300,243829.02,,75255.87,3.24,243829.02,-827.81,-0.3384%,24.2118%
2016/05/13,511010,252861.38,,2245.98,112.584,252861.38,139.25,0.0551%,25.1087%
2016/05/13,511880,250290.98,,2238.28,111.823,250290.98,35.81,0.0143%,24.8535%
2016/05/13,518880,260085.34,,96974.4,2.682,260085.34,2133.44,0.8271%,25.8260%
2016/05/13,总结,1007066.71,0,,,,1480.69,0.1472%,
2016/05/16,510300,244732.09,,75255.87,3.252,244732.09,903.07,0.3704%,24.2639%
2016/05/16,511010,252237.0,,2245.98,112.306,252237.0,-624.38,-0.2469%,25.0080%
2016/05/16,511880,250311.12,,2238.28,111.832,250311.12,20.14,0.0080%,24.8170%
2016/05/16,518880,261346.0,,96974.4,2.695,261346.0,1260.67,0.4847%,25.9111%
2016/05/16,总结,1008626.21,0,,,,1559.5,0.1549%,
2016/05/17,510300,244355.81,,75255.87,3.247,244355.81,-376.28,-0.1538%,24.2646%
2016/05/17,511010,252277.42,,2245.98,112.324,252277.42,40.43,0.0160%,25.0512%
2016/05/17,511880,250326.79,,2238.28,111.839,250326.79,15.67,0.0063%,24.8575%
2016/05/17,518880,260085.34,,96974.4,2.682,260085.34,-1260.67,-0.4824%,25.8266%
2016/05/17,总结,1007045.36,0,,,,-1580.85,-0.1567%,
2016/05/18,510300,242850.69,,75255.87,3.227,242850.69,-1505.12,-0.6160%,24.1593%
2016/05/18,511010,252025.87,,2245.98,112.212,252025.87,-251.55,-0.0997%,25.0721%
2016/05/18,511880,250340.22,,2238.28,111.845,250340.22,13.43,0.0054%,24.9044%
2016/05/18,518880,259988.36,,96974.4,2.681,259988.36,-96.97,-0.0373%,25.8642%
2016/05/18,总结,1005205.15,0,,,,-1840.21,-0.1827%,
2016/05/19,510300,242399.16,,75255.87,3.221,242399.16,-451.54,-0.1859%,24.2260%
2016/05/19,511010,251808.01,,2245.98,112.115,251808.01,-217.86,-0.0864%,25.1663%
2016/05/19,511880,250355.89,,2238.28,111.852,250355.89,15.67,0.0063%,25.0212%
2016/05/19,518880,256012.41,,96974.4,2.64,256012.41,-3975.95,-1.5293%,25.5865%
2016/05/19,总结,1000575.47,0,,,,-4629.68,-0.4606%,
2016/05/20,510300,243904.27,,75255.87,3.241,243904.27,1505.12,0.6209%,24.3366%
2016/05/20,511010,252133.68,,2245.98,112.26,252133.68,325.67,0.1293%,25.1578%
2016/05/20,511880,250353.65,,2238.28,111.851,250353.65,-2.24,-0.0009%,24.9802%
2016/05/20,518880,255818.46,,96974.4,2.638,255818.46,-193.95,-0.0758%,25.5254%
2016/05/20,总结,1002210.07,0,,,,1634.6,0.1634%,
2016/05/23,510300,244280.55,,75255.87,3.246,244280.55,376.28,0.1543%,24.3760%
2016/05/23,511010,251922.56,,2245.98,112.166,251922.56,-211.12,-0.0837%,25.1386%
2016/05/23,511880,250405.13,,2238.28,111.874,250405.13,51.48,0.0206%,24.9871%
2016/05/23,518880,255527.54,,96974.4,2.635,255527.54,-290.92,-0.1137%,25.4983%
2016/05/23,总结,1002135.78,0,,,,-74.28,-0.0074%,
2016/05/24,510300,242850.69,,75255.87,3.227,242850.69,-1429.86,-0.5853%,24.2948%
2016/05/24,511010,251951.76,,2245.98,112.179,251951.76,29.2,0.0116%,25.2053%
2016/05/24,511880,250431.99,,2238.28,111.886,250431.99,26.86,0.0107%,25.0533%
2016/05/24,518880,254363.85,,96974.4,2.623,254363.85,-1163.69,-0.4554%,25.4466%
2016/05/24,总结,999598.28,0,,,,-2537.49,-0.2532%,
2016/05/25,510300,242700.18,,75255.87,3.225,242700.18,-150.51,-0.0620%,24.3795%
2016/05/25,511010,252073.04,,2245.98,112.233,252073.04,121.28,0.0481%,25.3211%
2016/05/25,511880,250443.18,,2238.28,111.891,250443.18,11.19,0.0045%,25.1573%
2016/05/25,518880,250290.92,,96974.4,2.581,250290.92,-4072.92,-1.6012%,25.1420%
2016/05/25,总结,995507.32,0,,,,-4090.96,-0.4093%,
2016/05/26,510300,242700.18,,75255.87,3.225,242700.18,0.0,0.0000%,24.3595%
2016/05/26,511010,251915.82,,2245.98,112.163,251915.82,-157.22,-0.0624%,25.2845%
2016/05/26,511880,250449.89,,2238.28,111.894,250449.89,6.71,0.0027%,25.1373%
2016/05/26,518880,251260.67,,96974.4,2.591,251260.67,969.74,0.3874%,25.2187%
2016/05/26,总结,996326.56,0,,,,819.23,0.0823%,
2016/05/27,510300,242850.69,,75255.87,3.227,242850.69,150.51,0.0620%,24.3958%
2016/05/27,511010,251945.02,,2245.98,112.176,251945.02,29.2,0.0116%,25.3094%
2016/05/27,511880,250472.28,,2238.28,111.904,250472.28,22.38,0.0089%,25.1614%
2016/05/27,518880,250193.95,,96974.4,2.58,250193.95,-1066.72,-0.4245%,25.1335%
2016/05/27,总结,995461.94,0,,,,-864.63,-0.0868%,
2016/05/30,510300,243001.2,,75255.87,3.229,243001.2,150.51,0.0620%,24.4707%
2016/05/30,511010,251848.44,,2245.98,112.133,251848.44,-96.58,-0.0383%,25.3617%
2016/05/30,511880,250505.85,,2238.28,111.919,250505.85,33.57,0.0134%,25.2265%
2016/05/30,518880,247672.61,,96974.4,2.554,247672.61,-2521.33,-1.0078%,24.9411%
2016/05/30,总结,993028.11,0,,,,-2433.83,-0.2445%,
2016/05/31,510300,251053.58,,75255.87,3.336,251053.58,8052.38,3.3137%,25.0228%
2016/05/31,511010,251933.79,,2245.98,112.171,251933.79,85.35,0.0339%,25.1105%
2016/05/31,511880,250505.85,,2238.28,111.919,250505.85,0.0,0.0000%,24.9682%
2016/05/31,518880,249806.05,,96974.4,2.576,249806.05,2133.44,0.8614%,24.8985%
2016/05/31,总结,1003299.27,0,,,,10271.17,1.0343%,
2016/06/01,510300,250075.26,,75255.87,3.323,250075.26,-978.33,-0.3897%,24.9415%
2016/06/01,511010,251962.99,,2245.98,112.184,251962.99,29.2,0.0116%,25.1298%
2016/06/01,511880,250510.33,,2238.28,111.921,250510.33,4.48,0.0018%,24.9849%
2016/06/01,518880,250096.97,,96974.4,2.579,250096.97,290.92,0.1165%,24.9437%
2016/06/01,总结,1002645.54,0,,,,-653.73,-0.0652%,
2016/06/02,510300,250301.02,,75255.87,3.326,250301.02,225.77,0.0903%,24.9589%
2016/06/02,511010,251729.4,,2245.98,112.08,251729.4,-233.58,-0.0927%,25.1014%
2016/06/02,511880,250530.47,,2238.28,111.93,250530.47,20.14,0.0080%,24.9818%
2016/06/02,518880,250290.92,,96974.4,2.581,250290.92,193.95,0.0775%,24.9579%
2016/06/02,总结,1002851.82,0,,,,206.28,0.0206%,
2016/06/03,510300,253085.49,,75255.87,3.363,253085.49,2784.47,1.1124%,25.1854%
2016/06/03,511010,251628.34,,2245.98,112.035,251628.34,-101.07,-0.0401%,25.0404%
2016/06/03,511880,250564.05,,2238.28,111.945,250564.05,33.57,0.0134%,24.9345%
2016/06/03,518880,249612.1,,96974.4,2.574,249612.1,-678.82,-0.2712%,24.8397%
2016/06/03,总结,1004889.97,0,,,,2038.15,0.2032%,
2016/06/06,510300,251655.63,,75255.87,3.344,251655.63,-1429.86,-0.5650%,24.9638%
2016/06/06,511010,251664.27,,2245.98,112.051,251664.27,35.94,0.0143%,24.9647%
2016/06/06,511880,250590.91,,2238.28,111.957,250590.91,26.86,0.0107%,24.8582%
2016/06/06,518880,254169.9,,96974.4,2.621,254169.9,4557.8,1.8260%,25.2132%
2016/06/06,总结,1008080.7,0,,,,3190.74,0.3175%,
2016/06/07,510300,251655.63,,75255.87,3.344,251655.63,0.0,0.0000%,24.9522%
2016/06/07,511010,251715.93,,2245.98,112.074,251715.93,51.66,0.0205%,24.9582%
2016/06/07,511880,250620.0,,2238.28,111.97,250620.0,29.1,0.0116%,24.8496%
2016/06/07,518880,254557.8,,96974.4,2.625,254557.8,387.9,0.1526%,25.2400%
2016/06/07,总结,1008549.36,0,,,,468.66,0.0465%,
2016/06/08,510300,251354.61,,75255.87,3.34,251354.61,-301.02,-0.1196%,24.8716%
2016/06/08,511010,251947.26,,2245.98,112.177,251947.26,231.34,0.0919%,24.9302%
2016/06/08,511880,250714.01,,2238.28,112.012,250714.01,94.01,0.0375%,24.8082%
2016/06/08,518880,256594.26,,96974.4,2.646,256594.26,2036.46,0.8000%,25.3900%
2016/06/08,总结,1010610.14,0,,,,2060.79,0.2043%,
2016/06/13,510300,243528.0,,75255.87,3.236,243528.0,-7826.61,-3.1138%,24.1027%
2016/06/13,511010,251976.46,,2245.98,112.19,251976.46,29.2,0.0116%,24.9389%
2016/06/13,511880,250714.01,,2238.28,112.012,250714.01,0.0,0.0000%,24.8139%
2016/06/13,518880,264158.26,,96974.4,2.724,264158.26,7564.0,2.9478%,26.1445%
2016/06/13,总结,1010376.73,0,,,,-233.41,-0.0231%,
2016/06/14,510300,244506.32,,75255.87,3.249,244506.32,978.33,0.4017%,24.1831%
2016/06/14,511010,252353.79,,2245.98,112.358,252353.79,377.32,0.1497%,24.9593%
2016/06/14,511880,250722.96,,2238.28,112.016,250722.96,8.95,0.0036%,24.7980%
2016/06/14,518880,263479.44,,96974.4,2.717,263479.44,-678.82,-0.2570%,26.0597%
2016/06/14,总结,1011062.51,0,,,,685.78,0.0679%,
2016/06/15,510300,247591.81,,75255.87,3.29,247591.81,3085.49,1.2619%,24.3827%
2016/06/15,511010,252385.23,,2245.98,112.372,252385.23,31.44,0.0125%,24.8547%
2016/06/15,511880,250725.2,,2238.28,112.017,250725.2,2.24,0.0009%,24.6912%
2016/06/15,518880,264740.11,,96974.4,2.73,264740.11,1260.67,0.4785%,26.0714%
2016/06/15,总结,1015442.35,0,,,,4379.84,0.4332%,
2016/06/16,510300,246161.95,,75255.87,3.271,246161.95,-1429.86,-0.5775%,24.1626%
2016/06/16,511010,252576.14,,2245.98,112.457,252576.14,190.91,0.0756%,24.7922%
2016/06/16,511880,250736.39,,2238.28,112.022,250736.39,11.19,0.0045%,24.6116%
2016/06/16,518880,269297.91,,96974.4,2.777,269297.91,4557.8,1.7216%,26.4336%
2016/06/16,总结,1018772.39,0,,,,3330.04,0.3279%,
2016/06/17,510300,247140.28,,75255.87,3.284,247140.28,978.33,0.3974%,24.3753%
2016/06/17,511010,252679.45,,2245.98,112.503,252679.45,103.32,0.0409%,24.9216%
